vowel,F1,F2,filename
e,354.7339863156182,1911.177004505181,e_91.wav
e,452.8741444669813,1930.6095479296573,e_92.wav
e,470.4685989865894,1896.2242388788643,e_93.wav
e,414.74905490819214,1965.0427683916616,e_94.wav
ə,351.6949135865716,1932.270412297876,ə_95.wav
ə,419.7429012627884,1880.9344777323663,ə_96.wav
ə,433.93495465304505,1924.016288552164,ə_97.wav
ə,369.10779876764406,1827.921821546766,ə_98.wav
ə,390.42339599402914,1871.7725236371225,ə_99.wav
ə,410.7545179888368,1815.202816305288,ə_100.wav
ə,438.5365755608032,1925.032660077621,ə_101.wav
i,355.5669643156762,1920.5492529923536,i_102.wav
i,337.56543098834,2483.8377549910874,i_103.wav
ə,429.0277751427084,1902.1421183462992,ə_104.wav
i,342.0181723242766,1991.713830486772,i_105.wav
i,321.5086766050162,2305.635077839479,i_106.wav
i,341.802443507752,2220.428995243937,i_107.wav
e,418.12483976952535,1571.7416027837264,e_108.wav
e,417.931680720847,1574.0146125646863,e_109.wav
e,407.1994537042729,1504.4167872186706,e_110.wav
o,392.4132687321702,1092.6300700273246,o_111.wav
o,459.7576517198081,992.7356649106456,o_112.wav
o,425.2135866095502,909.54775824695,o_113.wav
o,450.9033258070855,922.083482145112,o_114.wav
o,437.8853097946535,870.2181945621022,o_115.wav
o,326.9704158760779,1030.50383553758,o_116.wav
o,380.5200452279936,1004.8985554234324,o_117.wav
o,407.9234292864519,1145.699966194505,o_118.wav
o,542.7958762831811,1447.148722792139,o_119.wav
o,956.5591779546804,1850.5065270557573,o_120.wav
o,512.8909872561787,1266.7387065220769,o_121.wav
o,530.8623514482161,1263.2846288000078,o_122.wav
u,379.4826484430898,934.516626080198,u_123.wav
u,375.659587706239,907.4692041069376,u_124.wav
u,361.9852071630809,1025.5818143674103,u_125.wav
o,407.8102042644969,1214.2665589139513,o_126.wav
o,593.2047252531602,1238.611544095046,o_127.wav
o,626.5016806002086,1776.6490866265892,o_128.wav
o,281.650822598785,1232.875925745975,o_129.wav
o,259.21635649078485,1269.9849911923889,o_130.wav
o,455.47044440337976,949.5920489234052,o_131.wav
o,442.72138334535936,1111.8997966338525,o_132.wav
o,473.6668817441441,968.9413383876456,o_133.wav
o,494.674293698491,1083.656941252237,o_134.wav
o,464.6006289760488,950.0925696029448,o_135.wav
o,419.38144270799336,1098.2887794626988,o_136.wav
o,438.6374188869484,989.4467749914364,o_137.wav
o,458.89639935078674,1275.9565855574192,o_138.wav
e,318.72633835103824,2282.0139851728745,e_139.wav
u,317.7811167981342,1486.467821311241,u_140.wav
e,382.9734261309142,2024.9492786300311,e_141.wav
u,331.5271765723235,1543.1451677977843,u_142.wav
e,400.6528155290159,2345.7584411129337,e_143.wav
u,379.6204080368013,1300.779933984781,u_144.wav
e,458.1000430117456,2205.275848064251,e_145.wav
u,364.0032855507377,1320.4218235282035,u_146.wav
e,464.907783666693,2292.486201390436,e_147.wav
u,376.0810940806312,1300.6765645723972,u_148.wav
e,427.6960318727108,2120.2340220718106,e_149.wav
u,417.4563652502212,1302.9012360162085,u_150.wav
u,361.15645148265656,866.1321352458395,u_151.wav
u,344.2081791603094,813.6239930294981,u_152.wav
u,356.9146706202502,887.163284961461,u_153.wav
u,361.9804552890299,952.188946129438,u_154.wav
a,842.8804382558959,1440.1531752138344,a_155.wav
a,1129.7527747362303,1878.9494637905889,a_156.wav
a,1177.2774397882006,1884.704414684395,a_157.wav
e,583.6036055259929,2131.774642328336,e_158.wav
e,550.627622877281,2108.469160544895,e_159.wav
e,546.0153893379231,2249.261805160524,e_160.wav
a,994.0740842524964,1480.1368658555584,a_161.wav
a,1039.893288631784,1766.1465478950313,a_162.wav
a,1120.146067002683,1857.0724657546496,a_163.wav
i,377.5779781188932,2258.6614508948355,i_164.wav
i,426.7159710816794,2397.84635070434,i_165.wav
i,389.8559708757816,2143.4355019573004,i_166.wav
i,463.87863067972313,2556.9209793829973,i_167.wav
i,397.6727952163735,2282.953445392986,i_168.wav
i,445.5856955859487,2118.614305400742,i_169.wav
e,481.2411117908086,2142.5761635834588,e_170.wav
e,497.2511467854228,2228.7342368276904,e_171.wav
e,451.5060531823501,2248.738657717295,e_172.wav
a,964.1689488843434,1790.7344440900322,a_173.wav
e,676.833887268172,2119.7371952067056,e_174.wav
a,1112.343863189681,1733.436447179653,a_175.wav
e,598.7285238409602,2147.885924188866,e_176.wav
a,1104.2949374471054,1729.2501250836112,a_177.wav
e,569.5662456759992,2151.992526697445,e_178.wav
a,959.9169170463072,1684.8660246203087,a_179.wav
e,544.5437923674571,2168.791265111949,e_180.wav
